,Age,Gender,Stream,Internships,CGPA,Hostel,HistoryOfBacklogs,PlacedOrNot,Salary
0,22,Male,Electronics And Communication,1,8,1,1,1,90000
1,21,Female,Computer Science,0,7,1,1,1,100000
2,22,Female,Information Technology,1,6,0,0,1,20000
3,21,Male,Information Technology,0,8,0,1,1,60000
4,22,Male,Mechanical,0,8,1,0,1,90000
5,22,Male,Electronics And Communication,0,6,0,0,0,0
6,21,Male,Computer Science,0,7,0,1,0,0
7,21,Male,Information Technology,1,7,0,0,0,0
8,21,Male,Computer Science,2,6,0,0,1,50000
9,21,Female,Computer Science,1,6,1,0,0,0
10,22,Male,Computer Science,1,7,0,0,0,0
11,22,Female,Electrical,1,8,0,1,1,80000
12,21,Female,Computer Science,2,6,1,1,0,0
13,21,Male,Computer Science,1,8,0,1,1,70000
14,21,Female,Electronics And Communication,2,8,0,0,1,100000
15,22,Male,Mechanical,0,8,1,0,1,80000
16,22,Female,Computer Science,1,7,1,0,0,0
17,21,Male,Civil,0,6,0,0,0,0
18,21,Male,Computer Science,1,7,0,0,0,0
19,22,Male,Computer Science,1,7,0,0,0,0
20,22,Male,Civil,0,8,0,0,1,60000
21,21,Male,Computer Science,1,6,0,0,0,0
22,22,Male,Civil,0,7,0,0,0,0
23,22,Male,Electronics And Communication,1,7,0,1,0,0
24,22,Male,Electronics And Communication,0,7,0,0,0,0
25,21,Male,Electrical,0,8,1,0,1,100000
26,22,Male,Electrical,1,8,0,0,1,20000
27,22,Male,Information Technology,1,8,0,0,1,20000
28,22,Male,Information Technology,1,8,0,0,1,40000
29,21,Male,Information Technology,0,6,0,0,1,40000
30,22,Male,Mechanical,1,8,1,0,1,40000
31,21,Male,Electrical,1,7,0,0,1,60000
32,21,Female,Civil,1,7,0,0,0,0
33,21,Male,Electrical,0,7,0,0,0,0
34,21,Male,Computer Science,1,6,0,0,1,50000
35,21,Male,Information Technology,1,6,0,0,0,0
36,22,Male,Civil,0,7,0,0,1,70000
37,22,Male,Computer Science,1,8,0,0,1,100000
38,22,Male,Information Technology,1,6,0,0,0,0
39,22,Male,Electronics And Communication,0,8,0,1,1,40000
40,22,Male,Electrical,1,6,0,1,0,0
41,22,Male,Civil,0,8,1,0,1,60000
42,21,Male,Electrical,1,7,1,1,1,90000
43,21,Male,Electrical,1,7,0,0,1,30000
44,22,Female,Information Technology,2,8,0,0,1,80000
45,21,Female,Electronics And Communication,3,6,0,0,1,50000
46,22,Male,Computer Science,1,8,0,0,1,20000
47,21,Male,Electronics And Communication,1,7,0,1,1,100000
48,21,Male,Information Technology,2,7,0,0,1,80000
49,21,Female,Electronics And Communication,0,7,0,0,0,0
50,22,Male,Electronics And Communication,0,8,0,0,1,50000
51,21,Male,Electrical,1,8,0,0,1,40000
52,21,Female,Computer Science,1,8,1,0,1,100000
53,21,Male,Electrical,3,6,1,1,0,0
54,21,Female,Electronics And Communication,3,6,0,0,1,70000
55,21,Male,Computer Science,1,7,0,0,1,60000
56,21,Male,Electronics And Communication,0,8,0,0,1,50000
57,21,Male,Civil,0,8,0,0,1,50000
58,21,Male,Electronics And Communication,0,8,0,0,1,60000
59,21,Female,Electrical,1,8,0,0,1,30000
60,21,Male,Computer Science,2,9,0,1,1,90000
61,22,Male,Computer Science,0,8,0,0,1,80000
